Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,08-19-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A12,FALSE,S1E2,Te_mar,STANDARD,NED,NFQ-MGB,38.213,37.955,0.364,100,100,,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,35,No Amp,,0.785,N,N,Y,Y,N,AMP
12,A12,FALSE,S1E2,sasa,STANDARD,FAM,NFQ-MGB,31.022,34.225,2.966,100,100,,41.791,0.925,-4.71,63.054,TRUE,0.255,TRUE,3,25,Amp,,0.979,Y,N,N,N,N,AMP
13,B1,FALSE,S1E1,Te_fin,STANDARD,VIC,NFQ-MGB,40.485,40.485,,10,10,,44.952,0.901,-4.94,59.378,TRUE,0.04,TRUE,3,36,No Amp,,0.187,N,N,Y,Y,N,AMP
13,B1,FALSE,S1E1,Te_mar,STANDARD,NED,NFQ-MGB,Undetermined,32.902,,10,,,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,44,No Amp,,0,N,Y,Y,Y,Y,NOAMP
13,B1,FALSE,S1E1,sasa,STANDARD,FAM,NFQ-MGB,35.551,35.551,,10,10,,41.791,0.925,-4.71,63.054,TRUE,0.255,TRUE,3,30,Amp,,0.981,N,N,N,N,N,AMP
14,B2,FALSE,S1E1,Te_fin,STANDARD,VIC,NFQ-MGB,Undetermined,40.485,,10,,,44.952,0.901,-4.94,59.378,TRUE,0.04,TRUE,3,44,No Amp,,0,N,Y,Y,Y,Y,NOAMP
14,B2,FALSE,S1E1,Te_mar,STANDARD,NED,NFQ-MGB,Undetermined,32.902,,10,,,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,36,No Amp,,0,N,N,Y,Y,N,NOAMP
14,B2,FALSE,S1E1,sasa,STANDARD,FAM,NFQ-MGB,Undetermined,35.551,,10,,,41.791,0.925,-4.71,63.054,TRUE,0.255,TRUE,3,35,No Amp,,0,N,N,N,Y,N,NOAMP
15,B3,FALSE,S1E1,Te_fin,STANDARD,VIC,NFQ-MGB,Undetermined,40.485,,10,,,44.952,0.901,-4.94,59.378,TRUE,0.04,TRUE,3,44,No Amp,,0,N,Y,Y,Y,Y,NOAMP
15,B3,FALSE,S1E1,Te_mar,STANDARD,NED,NFQ-MGB,32.902,32.902,,10,10,,42.498,0.876,-3.869,81.325,TRUE,0.04,TRUE,3,30,Amp,,0.992,N,N,Y,N,N,AMP
