Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B9,FALSE,CL0361,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
21,B9,FALSE,CL0361,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
21,B9,FALSE,CL0361,pa_ther,UNKNOWN,NED,NFQ-MGB,Undetermined,37.002,,,,,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,44,No Amp,,0.000,Y,Y,Y,N,N,Y,N,N
22,B10,FALSE,CT0931,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
22,B10,FALSE,CT0931,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
22,B10,FALSE,CT0931,pa_ther,UNKNOWN,NED,NFQ-MGB,Undetermined,,,,,,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,44,No Amp,,0.000,Y,Y,Y,N,N,Y,N,N
23,B11,FALSE,CT0931,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
23,B11,FALSE,CT0931,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
23,B11,FALSE,CT0931,pa_ther,UNKNOWN,NED,NFQ-MGB,Undetermined,,,,,,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,44,No Amp,,0.000,Y,Y,Y,N,N,Y,N,N
24,B12,FALSE,4.5E4,ascv,STANDARD,VIC,NFQ-MGB,23.161,23.161,,"45,000.000","45,000.000",,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,18,Amp,,0.975,N,N,N,N,N,N,N,N
24,B12,FALSE,4.5E4,ctv-2,STANDARD,FAM,NFQ-MGB,22.436,22.436,,"45,000.000","45,000.000",,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,17,Amp,,0.973,N,N,N,N,N,N,N,N
24,B12,FALSE,4.5E4,pa_ther,STANDARD,NED,NFQ-MGB,22.494,22.494,,"45,000.000","45,000.000",,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,20,Amp,,0.988,N,N,Y,N,N,N,N,N
25,C1,FALSE,CL2142,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
25,C1,FALSE,CL2142,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
25,C1,FALSE,CL2142,pa_ther,UNKNOWN,NED,NFQ-MGB,32.251,35.388,3.219,257.018,104.781,133.538,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,28,Amp,,0.937,N,N,Y,N,Y,N,N,N
26,C2,FALSE,CL2142,ascv,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,39.486,0.999,-3.547,91.380,TRUE,0.178,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
26,C2,FALSE,CL2142,ctv-2,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,37.831,0.997,-3.407,96.584,TRUE,0.251,TRUE,3,44,No Amp,,0.000,Y,Y,N,N,N,Y,N,N
26,C2,FALSE,CL2142,pa_ther,UNKNOWN,NED,NFQ-MGB,38.683,35.388,3.219,7.442,104.781,133.538,42.328,0.987,-4.181,73.449,TRUE,0.040,TRUE,3,35,Amp,,0.966,N,N,Y,N,Y,N,N,N
